flight_num,type,sched_time,actual_time,origin_dest,status,scan_timestamp
FR 4706,Decollo,19:50,21:10,CAGLIARI19:50 | 21:10Decollato,Decollato,2026-05-12 23:00:00
FR 3400,Decollo,20:20,21:08,SOFIA20:20 | 21:08Decollato,Decollato,2026-05-12 23:00:00
W6 4774,Decollo,20:45,21:20,SKOPJE20:45 | 21:20Decollato,Decollato,2026-05-12 23:00:00
W4 3932,Decollo,20:50,21:19,CHISINAU20:50 | 21:19Decollato,Decollato,2026-05-12 23:00:00
FR 4132,Decollo,20:55,21:19,BARI20:55 | 21:19Decollato,Decollato,2026-05-12 23:00:00
FR 4042,Decollo,21:05,21:05,PORTO21:05 | 21:05Decollato,Decollato,2026-05-12 23:00:00
FR 4650,Decollo,21:10,21:10,TRAPANI21:10 | 21:10Decollato,Decollato,2026-05-12 23:00:00
FR 3319,Decollo,21:15,22:10,BARCELONA EL PRAT21:15 | 22:10Decollato,Decollato,2026-05-12 23:00:00
FR 2679,Decollo,21:20,21:45,BERLIN21:20 | 21:45Decollato,Decollato,2026-05-12 23:00:00
FR 219,Decollo,21:25,21:25,ALICANTE21:25 | 21:25Decollato,Decollato,2026-05-12 23:00:00
FR 7361,Decollo,21:30,21:30,VIENNA21:30 | 21:30Decollato,Decollato,2026-05-12 23:00:00
FR 6513,Decollo,21:35,21:35,OLBIA21:35 | 21:35Decollato,Decollato,2026-05-12 23:00:00
W4 5020,Decollo,21:45,21:45,TIRANA21:45 | 21:45Decollato,Decollato,2026-05-12 23:00:00
W4 3136,Decollo,21:45,21:45,BUCHAREST BANEASA21:45 | 21:45Decollato,Decollato,2026-05-12 23:00:00
FR 5102,Decollo,21:50,22:09,BIRMINGHAM21:50 | 22:09Decollato,Decollato,2026-05-12 23:00:00
FR 5655,Decollo,22:05,22:44,PALMA DE MALLORCA22:05 | 22:44Decollato,Decollato,2026-05-12 23:00:00
W6 4508,Decollo,22:10,22:10,VARNA22:10 | 22:10Decollato,Decollato,2026-05-12 23:00:00
FR 2990,Decollo,22:15,22:15,COPENHAGEN22:15 | 22:15Decollato,Decollato,2026-05-12 23:00:00
FR 3673,Decollo,22:45,23:10,LONDON  STANSTED22:45 | 23:10Imbarco chiuso,Imbarco chiuso,2026-05-12 23:00:00
FR 3280,Decollo,22:45,22:45,GDANSK - DANZICA22:45 | 22:45Decollato,Decollato,2026-05-12 23:00:00
FR 1703,Decollo,23:05,23:05,NOTTINGHAM EAST MIDLANDS23:05 | 23:05Imbarco chiuso,Imbarco chiuso,2026-05-12 23:00:00
FR 3413,Decollo,23:10,23:10,KATOWICE23:10 | 23:10Imbarco chiuso,Imbarco chiuso,2026-05-12 23:00:00
FR 6054,Decollo,23:20,23:45,ZAGREB23:20 | 23:45In ritardo,In ritardo,2026-05-12 23:00:00
FR 847,Decollo,23:30,00:40,BARCELONA EL PRAT23:30 | 00:40In ritardo,In ritardo,2026-05-12 23:00:00
W6 4124,Decollo,23:35,23:35,BELGRADE23:35 | 23:35Imbarco in corso,Imbarco in corso,2026-05-12 23:00:00
FR 3659,Decollo,05:45,05:45,BRUXELLES CHARLEROI05:45 | 05:45,nan,2026-05-12 23:00:00
FR 2830,Decollo,05:45,05:45,TENERIFE05:45 | 05:45,nan,2026-05-12 23:00:00
FR 3402,Decollo,05:50,05:50,MARRAKECH05:50 | 05:50,nan,2026-05-12 23:00:00
FR 2261,Decollo,05:50,05:50,CATANIA05:50 | 05:50,nan,2026-05-12 23:00:00
FR 3200,Decollo,05:55,05:55,CAGLIARI05:55 | 05:55,nan,2026-05-12 23:00:00
FR 2669,Decollo,05:55,05:55,BERLIN05:55 | 05:55,nan,2026-05-12 23:00:00
FR 3273,Decollo,06:00,06:00,AGADIR06:00 | 06:00Operato da Malta Air,Operato da Malta Air,2026-05-12 23:00:00
FR 3528,Decollo,06:00,06:00,PRAGUE06:00 | 06:00,nan,2026-05-12 23:00:00
FR 8334,Decollo,06:05,06:05,IBIZA06:05 | 06:05,nan,2026-05-12 23:00:00
FR 2087,Decollo,06:05,06:05,LISBON06:05 | 06:05,nan,2026-05-12 23:00:00
FR 888,Decollo,06:10,06:10,KRAKOW06:10 | 06:10,nan,2026-05-12 23:00:00
FR 9890,Decollo,06:20,06:20,LODZ06:20 | 06:20,nan,2026-05-12 23:00:00
FR 6304,Decollo,06:45,06:45,BARCELONA EL PRAT06:45 | 06:45,nan,2026-05-12 23:00:00
FR 4042,Decollo,06:50,06:50,PORTO06:50 | 06:50,nan,2026-05-12 23:00:00
FR 2285,Decollo,07:05,07:05,NAPOLI07:05 | 07:05,nan,2026-05-12 23:00:00
FR 3653,Decollo,07:10,07:10,BARI07:10 | 07:10,nan,2026-05-12 23:00:00
W4 3132,Decollo,07:30,07:30,BUCHAREST BANEASA07:30 | 07:30,nan,2026-05-12 23:00:00
FR 1533,Decollo,07:35,07:35,VIENNA07:35 | 07:35Operato da Lauda Europe,Operato da Lauda Europe,2026-05-12 23:00:00
FR 3593,Decollo,07:40,07:40,POZNAN07:40 | 07:40,nan,2026-05-12 23:00:00
FR 5551,Decollo,07:40,07:40,COLOGNE07:40 | 07:40,nan,2026-05-12 23:00:00
FR 3432,Decollo,07:40,07:40,PARIS BEAUVAIS07:40 | 07:40Operato da Malta Air,Operato da Malta Air,2026-05-12 23:00:00
FR 2858,Decollo,07:50,07:50,BRINDISI07:50 | 07:50,nan,2026-05-12 23:00:00
FR 4400,Decollo,07:55,07:55,HERAKLION07:55 | 07:55,nan,2026-05-12 23:00:00
FR 9604,Decollo,07:55,07:55,BELFAST07:55 | 07:55Operato da Malta Air,Operato da Malta Air,2026-05-12 23:00:00
FR 3408,Decollo,08:00,08:00,KATOWICE08:00 | 08:00Operato da BUZZ,Operato da BUZZ,2026-05-12 23:00:00
W4 3672,Decollo,08:00,08:00,IASI08:00 | 08:00,nan,2026-05-12 23:00:00
FR 8121,Decollo,08:00,08:00,TIRANA08:00 | 08:00Operato da Malta Air,Operato da Malta Air,2026-05-12 23:00:00
AP 1197,Decollo,08:00,08:00,LOURDES08:00 | 08:00,nan,2026-05-12 23:00:00
FR 4698,Decollo,08:05,08:05,TRAPANI08:05 | 08:05,nan,2026-05-12 23:00:00
