flight_num,type,sched_time,actual_time,origin_dest,status,scan_timestamp
AP 3223,Decollo,18:20,21:26,LAMEZIA18:20 | 21:26Decollato,Decollato,2026-06-13 23:00:00
V7 1316,Decollo,19:55,21:20,OLBIA19:55 | 21:20Decollato,Decollato,2026-06-13 23:00:00
FR 7361,Decollo,20:20,21:04,VIENNA20:20 | 21:04Decollato,Decollato,2026-06-13 23:00:00
W4 3470,Decollo,20:35,21:10,TIRGU MURES20:35 | 21:10Decollato,Decollato,2026-06-13 23:00:00
W6 1434,Decollo,20:40,21:22,WARSAW20:40 | 21:22Decollato,Decollato,2026-06-13 23:00:00
W6 4774,Decollo,20:45,21:28,SKOPJE20:45 | 21:28Decollato,Decollato,2026-06-13 23:00:00
A9 732,Decollo,21:00,21:26,TBILISI21:00 | 21:26Decollato,Decollato,2026-06-13 23:00:00
FR 4523,Decollo,21:00,21:00,BRUXELLES CHARLEROI21:00 | 21:00Decollato,Decollato,2026-06-13 23:00:00
FR 5531,Decollo,21:10,22:01,COLOGNE21:10 | 22:01Decollato,Decollato,2026-06-13 23:00:00
FR 4969,Decollo,21:20,21:55,PALERMO21:20 | 21:55Decollato,Decollato,2026-06-13 23:00:00
FR 484,Decollo,21:20,22:09,DUSSELDORF - WEEZE21:20 | 22:09Decollato,Decollato,2026-06-13 23:00:00
FR 3440,Decollo,21:25,21:52,LAMEZIA21:25 | 21:52Decollato,Decollato,2026-06-13 23:00:00
SM 832,Decollo,21:25,21:25,SHARM EL SHEIKH21:25 | 21:25Decollato,Decollato,2026-06-13 23:00:00
FR 5934,Decollo,21:25,21:25,DUBROVNIK21:25 | 21:25Decollato,Decollato,2026-06-13 23:00:00
FR 4650,Decollo,21:30,21:30,TRAPANI21:30 | 21:30Decollato,Decollato,2026-06-13 23:00:00
FR 4132,Decollo,21:35,21:55,BARI21:35 | 21:55Decollato,Decollato,2026-06-13 23:00:00
FR 6501,Decollo,21:35,22:04,OLBIA21:35 | 22:04Decollato,Decollato,2026-06-13 23:00:00
W4 3136,Decollo,21:45,21:45,BUCHAREST BANEASA21:45 | 21:45Decollato,Decollato,2026-06-13 23:00:00
W4 5020,Decollo,21:45,21:45,TIRANA21:45 | 21:45Decollato,Decollato,2026-06-13 23:00:00
W6 4508,Decollo,22:10,22:10,VARNA22:10 | 22:10Decollato,Decollato,2026-06-13 23:00:00
FR 6991,Decollo,22:10,22:10,RABAT22:10 | 22:10Decollato,Decollato,2026-06-13 23:00:00
FR 3280,Decollo,22:20,22:20,GDANSK - DANZICA22:20 | 22:20Decollato,Decollato,2026-06-13 23:00:00
G9 696,Decollo,22:50,22:50,SHARJAH22:50 | 22:50Decollato,Decollato,2026-06-13 23:00:00
FR 8844,Decollo,22:55,22:55,WROCLAW - BRESLAVIA22:55 | 22:55Imbarco chiuso,Imbarco chiuso,2026-06-13 23:00:00
FR 5999,Decollo,23:05,23:05,ZAGREB23:05 | 23:05Imbarco chiuso,Imbarco chiuso,2026-06-13 23:00:00
FR 3408,Decollo,23:10,23:10,KATOWICE23:10 | 23:10Decollato,Decollato,2026-06-13 23:00:00
FR 3535,Decollo,23:15,23:53,KRAKOW23:15 | 23:53In ritardo,In ritardo,2026-06-13 23:00:00
FR 4915,Decollo,23:15,23:15,PALERMO23:15 | 23:15Imbarco ultima chiamata,Imbarco ultima chiamata,2026-06-13 23:00:00
FR 4270,Decollo,23:25,23:45,DUBLIN23:25 | 23:45Imbarco in corso,Imbarco in corso,2026-06-13 23:00:00
V7 914,Decollo,00:20,00:20,VERONA00:20 | 00:20,nan,2026-06-13 23:00:00
FR 6086,Decollo,05:45,05:45,KALAMATA05:45 | 05:45,nan,2026-06-13 23:00:00
FR 2830,Decollo,05:50,05:50,TENERIFE05:50 | 05:50Operato da Malta Air,Operato da Malta Air,2026-06-13 23:00:00
FR 2254,Decollo,05:55,05:55,ALGHERO05:55 | 05:55Operato da Malta Air,Operato da Malta Air,2026-06-13 23:00:00
FR 8511,Decollo,05:55,05:55,BENI MELLAL05:55 | 05:55,nan,2026-06-13 23:00:00
FR 2293,Decollo,05:55,05:55,PESCARA05:55 | 05:55Operato da Malta Air,Operato da Malta Air,2026-06-13 23:00:00
FR 3200,Decollo,06:00,06:00,CAGLIARI06:00 | 06:00,nan,2026-06-13 23:00:00
FR 3142,Decollo,06:00,06:00,BARCELONA EL PRAT06:00 | 06:00Operato da Malta Air,Operato da Malta Air,2026-06-13 23:00:00
FR 8334,Decollo,06:05,06:05,IBIZA06:05 | 06:05,nan,2026-06-13 23:00:00
FR 410,Decollo,06:05,06:05,LUXEMBOURG06:05 | 06:05Operato da Malta Air,Operato da Malta Air,2026-06-13 23:00:00
FR 5139,Decollo,06:15,06:15,FARO06:15 | 06:15Operato da Malta Air,Operato da Malta Air,2026-06-13 23:00:00
FR 3392,Decollo,06:30,06:30,HELSINKI06:30 | 06:30Operato da Malta Air,Operato da Malta Air,2026-06-13 23:00:00
FR 3400,Decollo,06:30,06:30,SOFIA06:30 | 06:30Operato da Malta Air,Operato da Malta Air,2026-06-13 23:00:00
FR 3528,Decollo,06:35,06:35,PRAGUE06:35 | 06:35,nan,2026-06-13 23:00:00
FR 2285,Decollo,06:40,06:40,NAPOLI06:40 | 06:40,nan,2026-06-13 23:00:00
FR 8844,Decollo,06:45,06:45,WROCLAW - BRESLAVIA06:45 | 06:45,nan,2026-06-13 23:00:00
FR 9292,Decollo,06:45,06:45,KAUNAS06:45 | 06:45,nan,2026-06-13 23:00:00
MT 3140,Decollo,06:50,06:50,MARSA ALAM06:50 | 06:50,nan,2026-06-13 23:00:00
FR 2878,Decollo,07:00,07:00,STOCKHOLM07:00 | 07:00,nan,2026-06-13 23:00:00
NO 7700,Decollo,07:00,07:00,CATANIA07:00 | 07:00,nan,2026-06-13 23:00:00
FR 9050,Decollo,07:15,07:15,CORK07:15 | 07:15Operato da Malta Air,Operato da Malta Air,2026-06-13 23:00:00
FR 3460,Decollo,07:20,07:20,EINDHOVEN07:20 | 07:20,nan,2026-06-13 23:00:00
W4 3132,Decollo,07:30,07:30,BUCHAREST BANEASA07:30 | 07:30,nan,2026-06-13 23:00:00
FR 8121,Decollo,07:30,07:30,TIRANA07:30 | 07:30,nan,2026-06-13 23:00:00
FR 6054,Decollo,07:40,07:40,ZAGREB07:40 | 07:40Operato da Lauda Europe,Operato da Lauda Europe,2026-06-13 23:00:00
FR 3587,Decollo,07:40,07:40,OSLO TORP07:40 | 07:40,nan,2026-06-13 23:00:00
FR 4667,Decollo,07:45,07:45,BARI07:45 | 07:45Operato da Malta Air,Operato da Malta Air,2026-06-13 23:00:00
FR 5114,Decollo,07:50,07:50,LAMEZIA07:50 | 07:50,nan,2026-06-13 23:00:00
FR 2107,Decollo,07:55,07:55,BUDAPEST07:55 | 07:55Operato da BUZZ,Operato da BUZZ,2026-06-13 23:00:00
W4 3672,Decollo,08:00,08:00,IASI08:00 | 08:00,nan,2026-06-13 23:00:00
FR 3448,Decollo,08:00,08:00,BRINDISI08:00 | 08:00,nan,2026-06-13 23:00:00
