flight_num,type,sched_time,actual_time,origin_dest,status,scan_timestamp
FR 3655,Decollo,18:35,21:13,STOCKHOLM18:35 | 21:13Decollato,Decollato,2026-05-06 23:00:00
FR 3893,Decollo,19:05,00:35,CAGLIARI19:05 | 00:35In ritardo,In ritardo,2026-05-06 23:00:00
FR 6846,Decollo,19:05,02:45,LIVERPOOL19:05 | 02:45In ritardo,In ritardo,2026-05-06 23:00:00
FR 8801,Decollo,19:15,23:00,IBIZA19:15 | 23:00Imbarco chiuso,Imbarco chiuso,2026-05-06 23:00:00
FR 2892,Decollo,20:05,21:03,CATANIA20:05 | 21:03Decollato,Decollato,2026-05-06 23:00:00
FR 859,Decollo,20:15,22:20,BRINDISI20:15 | 22:20Decollato,Decollato,2026-05-06 23:00:00
FR 3506,Decollo,20:25,21:13,ALICANTE20:25 | 21:13Decollato,Decollato,2026-05-06 23:00:00
FR 2254,Decollo,20:50,21:50,ALGHERO20:50 | 21:50Decollato,Decollato,2026-05-06 23:00:00
FR 5092,Decollo,20:50,21:16,LAMEZIA20:50 | 21:16Decollato,Decollato,2026-05-06 23:00:00
FR 3280,Decollo,20:55,21:22,GDANSK - DANZICA20:55 | 21:22Decollato,Decollato,2026-05-06 23:00:00
FR 8349,Decollo,20:55,21:27,TIRANA20:55 | 21:27Decollato,Decollato,2026-05-06 23:00:00
FR 484,Decollo,21:20,22:00,DUSSELDORF - WEEZE21:20 | 22:00Decollato,Decollato,2026-05-06 23:00:00
FR 4969,Decollo,21:25,21:25,PALERMO21:25 | 21:25Decollato,Decollato,2026-05-06 23:00:00
FR 3341,Decollo,21:30,21:30,VARSAVIA MODLIN21:30 | 21:30Decollato,Decollato,2026-05-06 23:00:00
FR 3219,Decollo,21:30,21:59,MANCHESTER21:30 | 21:59Decollato,Decollato,2026-05-06 23:00:00
FR 7324,Decollo,21:35,22:25,MALTA21:35 | 22:25Decollato,Decollato,2026-05-06 23:00:00
W4 5020,Decollo,21:45,22:37,TIRANA21:45 | 22:37Decollato,Decollato,2026-05-06 23:00:00
W4 3136,Decollo,21:45,21:45,BUCHAREST BANEASA21:45 | 21:45Decollato,Decollato,2026-05-06 23:00:00
FR 4132,Decollo,21:45,21:45,BARI21:45 | 21:45Decollato,Decollato,2026-05-06 23:00:00
E5 545,Decollo,22:00,22:44,CAIRO22:00 | 22:44Decollato,Decollato,2026-05-06 23:00:00
FR 6501,Decollo,22:10,22:10,OLBIA22:10 | 22:10Decollato,Decollato,2026-05-06 23:00:00
FR 2992,Decollo,22:15,22:15,COPENHAGEN22:15 | 22:15Decollato,Decollato,2026-05-06 23:00:00
W4 3552,Decollo,22:20,22:54,TIMISOARA22:20 | 22:54Decollato,Decollato,2026-05-06 23:00:00
FR 7361,Decollo,22:25,22:25,VIENNA22:25 | 22:25Decollato,Decollato,2026-05-06 23:00:00
FR 2293,Decollo,22:25,22:53,PESCARA22:25 | 22:53Decollato,Decollato,2026-05-06 23:00:00
FR 9196,Decollo,22:35,22:35,TRAPANI22:35 | 22:35Decollato,Decollato,2026-05-06 23:00:00
FR 4188,Decollo,22:40,23:08,LONDON  STANSTED22:40 | 23:08Imbarco chiuso,Imbarco chiuso,2026-05-06 23:00:00
FR 6651,Decollo,23:25,23:25,CATANIA23:25 | 23:25Imbarco ultima chiamata,Imbarco ultima chiamata,2026-05-06 23:00:00
FR 9429,Decollo,23:35,00:13,DUBLIN23:35 | 00:13In ritardo,In ritardo,2026-05-06 23:00:00
W6 4124,Decollo,23:35,23:57,BELGRADE23:35 | 23:57,nan,2026-05-06 23:00:00
FR 1703,Decollo,23:40,00:10,NOTTINGHAM EAST MIDLANDS23:40 | 00:10In ritardo,In ritardo,2026-05-06 23:00:00
HH 416,Decollo,00:50,00:50,URGENCH/TASHKENT00:50 | 00:50,nan,2026-05-06 23:00:00
FR 3432,Decollo,05:45,05:45,PARIS BEAUVAIS05:45 | 05:45,nan,2026-05-06 23:00:00
FR 3528,Decollo,05:45,05:45,PRAGUE05:45 | 05:45,nan,2026-05-06 23:00:00
FR 2830,Decollo,05:50,05:50,TENERIFE05:50 | 05:50,nan,2026-05-06 23:00:00
FR 2261,Decollo,05:50,05:50,CATANIA05:50 | 05:50,nan,2026-05-06 23:00:00
FR 3200,Decollo,05:50,05:50,CAGLIARI05:50 | 05:50Operato da Malta Air,Operato da Malta Air,2026-05-06 23:00:00
FR 3400,Decollo,05:55,05:55,SOFIA05:55 | 05:55,nan,2026-05-06 23:00:00
FR 5655,Decollo,05:55,05:55,PALMA DE MALLORCA05:55 | 05:55,nan,2026-05-06 23:00:00
FR 8121,Decollo,06:00,06:00,TIRANA06:00 | 06:00,nan,2026-05-06 23:00:00
FR 266,Decollo,06:05,06:05,FUERTEVENTURA06:05 | 06:05Operato da Malta Air,Operato da Malta Air,2026-05-06 23:00:00
FR 3653,Decollo,06:20,06:20,BARI06:20 | 06:20Operato da Malta Air,Operato da Malta Air,2026-05-06 23:00:00
FR 410,Decollo,06:20,06:20,LUXEMBOURG06:20 | 06:20Operato da Malta Air,Operato da Malta Air,2026-05-06 23:00:00
FR 2289,Decollo,06:20,06:20,PALERMO06:20 | 06:20,nan,2026-05-06 23:00:00
FR 6854,Decollo,06:25,06:25,HELSINKI06:25 | 06:25Operato da Malta Air,Operato da Malta Air,2026-05-06 23:00:00
FR 5999,Decollo,06:30,06:30,ZAGREB06:30 | 06:30,nan,2026-05-06 23:00:00
FR 9065,Decollo,06:30,06:30,ALICANTE06:30 | 06:30,nan,2026-05-06 23:00:00
FR 497,Decollo,06:35,06:35,VALENCIA06:35 | 06:35Operato da Malta Air,Operato da Malta Air,2026-05-06 23:00:00
FR 2878,Decollo,06:45,06:45,STOCKHOLM06:45 | 06:45,nan,2026-05-06 23:00:00
FR 2285,Decollo,07:10,07:10,NAPOLI07:10 | 07:10Operato da Malta Air,Operato da Malta Air,2026-05-06 23:00:00
FR 259,Decollo,07:20,07:20,BUCHAREST OTOPENI07:20 | 07:20Operato da Malta Air,Operato da Malta Air,2026-05-06 23:00:00
FR 1853,Decollo,07:25,07:25,MARSEILLE07:25 | 07:25Operato da Malta Air,Operato da Malta Air,2026-05-06 23:00:00
W4 3132,Decollo,07:30,07:30,BUCHAREST BANEASA07:30 | 07:30,nan,2026-05-06 23:00:00
FR 9890,Decollo,07:35,07:35,LODZ07:35 | 07:35,nan,2026-05-06 23:00:00
FR 3408,Decollo,07:55,07:55,KATOWICE07:55 | 07:55Operato da BUZZ,Operato da BUZZ,2026-05-06 23:00:00
FR 1746,Decollo,08:00,08:00,KNOCK08:00 | 08:00Operato da BUZZ,Operato da BUZZ,2026-05-06 23:00:00
W4 3672,Decollo,08:00,08:00,IASI08:00 | 08:00,nan,2026-05-06 23:00:00
FR 2107,Decollo,08:00,08:00,BUDAPEST08:00 | 08:00Operato da BUZZ,Operato da BUZZ,2026-05-06 23:00:00
FR 847,Decollo,08:05,08:05,BARCELONA EL PRAT08:05 | 08:05,nan,2026-05-06 23:00:00
W6 4352,Decollo,08:10,08:10,SOFIA08:10 | 08:10,nan,2026-05-06 23:00:00
