callsign_volo,tipo_movimento,destinazione_origine,orario_schedulato,orario_effettivo,stato_volo,scan_timestamp
FR 4663,D,VALENCIA,07:25,07:25,OPERATO DA MALTA AIR,2026-09-26 00:01:42
FR 1853,D,MARSEILLE,07:25,07:25,OPERATO DA MALTA AIR,2026-09-26 00:01:42
W4 3132,D,BUCHAREST BANEASA,07:30,07:30,Operativo,2026-09-26 00:01:42
FR 1533,D,VIENNA,07:35,07:35,OPERATO DA LAUDA EUROPE,2026-09-26 00:01:42
FR 413,D,THESSALONIKI,07:50,07:50,OPERATO DA MALTA AIR,2026-09-26 00:01:42
FR 5980,D,TOULOUSE,07:55,07:55,OPERATO DA MALTA AIR,2026-09-26 00:01:42
W4 3672,D,IASI,08:00,08:00,CANCELLATO,2026-09-26 00:01:42
DN 422,D,BACAU,08:05,08:05,Operativo,2026-09-26 00:01:42
FR 2107,D,BUDAPEST,08:10,08:10,OPERATO DA BUZZ,2026-09-26 00:01:42
FR 888,D,KRAKOW,08:10,08:10,Operativo,2026-09-26 00:01:42
W6 4352,D,SOFIA,08:10,08:10,OPERATO DA WIZZAIR MALTA,2026-09-26 00:01:42
FR 6149,D,PALERMO,08:10,08:10,OPERATO DA MALTA AIR,2026-09-26 00:01:42
FR 2864,D,BRINDISI,08:15,08:15,Operativo,2026-09-26 00:01:42
W6 1432,D,WARSAW,08:40,08:40,OPERATO DA WIZZAIR MALTA,2026-09-26 00:01:42
FR 3396,D,CROTONE,08:45,08:45,OPERATO DA MALTA AIR,2026-09-26 00:01:42
FR 3645,D,EDINBURGH,08:55,08:55,Operativo,2026-09-26 00:01:42
FR 1784,D,COPENHAGEN,09:05,09:05,Operativo,2026-09-26 00:01:42
FR 4042,D,PORTO,09:05,09:05,Operativo,2026-09-26 00:01:42
FR 2739,D,LONDON STANSTED,09:10,09:10,OPERATO DA MALTA AIR,2026-09-26 00:01:42
FR 4667,D,BARI,09:30,09:30,OPERATO DA MALTA AIR,2026-09-26 00:01:42
FR 076,D,SEVILLA,09:40,09:40,Operativo,2026-09-26 00:01:42
FR 7324,D,MALTA,09:50,09:50,Operativo,2026-09-26 00:01:42
FR 2888,D,CATANIA,10:00,10:00,Operativo,2026-09-26 00:01:42
FR 4201,D,RHODES,10:10,10:10,Operativo,2026-09-26 00:01:42
FR 9239,D,LUBLIN,10:15,10:15,OPERATO DA MALTA AIR,2026-09-26 00:01:42
FR 461,D,NEWCASTLE,10:15,10:15,Operativo,2026-09-26 00:01:42
FR 1903,D,VARSAVIA MODLIN,10:25,10:25,OPERATO DA BUZZ,2026-09-26 00:01:42
FR 5108,D,LOURDES,10:30,10:30,Operativo,2026-09-26 00:01:42
FR 9618,D,RIGA,10:35,10:35,OPERATO DA BUZZ,2026-09-26 00:01:42
FR 4196,D,CORFU,10:40,10:40,OPERATO DA MALTA AIR,2026-09-26 00:01:42
FR 3200,D,CAGLIARI,10:45,10:45,OPERATO DA MALTA AIR,2026-09-26 00:01:42
FR 497,D,VALENCIA,10:45,10:45,Assistenza Milan Bergamo Airport SEDE LEGALE Via Orio al Serio 49/,2026-09-26 00:01:42
NP 222,A,CAIRO,21:30,00:05,IMBARCO CHIUSO,2026-09-26 00:01:42
FR 9408,A,FEZ,22:20,23:57,DECOLLATO,2026-09-26 00:01:42
FR 3657,A,EDINBURGH,22:45,23:40,DECOLLATO,2026-09-26 00:01:42
W4 5020,A,TIRANA,23:00,00:49,IN RITARDO,2026-09-26 00:01:42
FR 8355,A,TIRANA,23:10,23:40,IMBARCO CH,2026-09-26 00:01:42
3O 456,A,CASABLANCA,23:30,23:30,IMBARCO CHIUSO,2026-09-26 00:01:42
FR 3408,A,KATOWICE,23:35,23:35,DECOLLATO,2026-09-26 00:01:42
W6 4124,A,BELGRADE,23:40,23:40,IMBARCO CHIUSO,2026-09-26 00:01:42
FR 2254,A,ALGHERO,05:45,05:45,Operativo,2026-09-26 00:01:42
FR 2669,A,BERLIN,05:45,05:45,Operativo,2026-09-26 00:01:42
FR 5139,A,FARO,05:50,05:50,Operativo,2026-09-26 00:01:42
FR 3659,A,BRUXELLES CHARLEROI,05:55,05:55,Operativo,2026-09-26 00:01:42
FR 6178,A,FUERTEVENTURA,05:55,05:55,OPERATO DA MALTA AIR,2026-09-26 00:01:42
FR 3545,A,FEZ,06:00,06:00,OPERATO DA MALTA AIR,2026-09-26 00:01:42
FR 8334,A,IBIZA,06:00,06:00,Operativo,2026-09-26 00:01:42
FR 9196,A,TRAPANI,06:05,06:05,Operativo,2026-09-26 00:01:42
FR 1176,A,MENORCA,06:05,06:05,OPERATO DA MALTA AIR,2026-09-26 00:01:42
FR 3142,A,BARCELONA EL PRAT,06:10,06:10,OPERATO DA MALTA AIR,2026-09-26 00:01:42
MT 1160,A,LAMPEDUSA,06:15,06:15,Operativo,2026-09-26 00:01:42
FR 2285,A,NAPOLI,06:20,06:20,Operativo,2026-09-26 00:01:42
FR 5120,A,MADRID,06:20,06:20,Operativo,2026-09-26 00:01:42
FR 3593,A,POZNAN,06:30,06:30,OPERATO DA MALTA AIR,2026-09-26 00:01:42
FR 3528,A,PRAGUE,06:30,06:30,Operativo,2026-09-26 00:01:42
FR 8121,A,TIRANA,06:35,06:35,Operativo,2026-09-26 00:01:42
FR 1417,A,LAMEZIA,06:45,06:45,Operativo,2026-09-26 00:01:42
FR 2261,A,CATANIA,06:45,06:45,Operativo,2026-09-26 00:01:42
FR 3400,A,SOFIA,06:45,06:45,Operativo,2026-09-26 00:01:42
FR 1746,A,KNOCK,07:20,07:20,Operativo,2026-09-26 00:01:42
FR 4663,A,VALENCIA,07:25,07:25,OPERATO DA MALTA AIR,2026-09-26 00:01:42
FR 1853,A,MARSEILLE,07:25,07:25,OPERATO DA MALTA AIR,2026-09-26 00:01:42
W4 3132,A,BUCHAREST BANEASA,07:30,07:30,Operativo,2026-09-26 00:01:42
FR 1533,A,VIENNA,07:35,07:35,OPERATO DA LAUDA EUROPE,2026-09-26 00:01:42
FR 413,A,THESSALONIKI,07:50,07:50,OPERATO DA MALTA AIR,2026-09-26 00:01:42
FR 5980,A,TOULOUSE,07:55,07:55,OPERATO DA MALTA AIR,2026-09-26 00:01:42
W4 3672,A,IASI,08:00,08:00,CANCELLATO,2026-09-26 00:01:42
DN 422,A,BACAU,08:05,08:05,Operativo,2026-09-26 00:01:42
FR 2107,A,BUDAPEST,08:10,08:10,OPERATO DA BUZZ,2026-09-26 00:01:42
FR 888,A,KRAKOW,08:10,08:10,Operativo,2026-09-26 00:01:42
W6 4352,A,SOFIA,08:10,08:10,OPERATO DA WIZZAIR MALTA,2026-09-26 00:01:42
FR 6149,A,PALERMO,08:10,08:10,OPERATO DA MALTA AIR,2026-09-26 00:01:42
FR 2864,A,BRINDISI,08:15,08:15,Operativo,2026-09-26 00:01:42
W6 1432,A,WARSAW,08:40,08:40,OPERATO DA WIZZAIR MALTA,2026-09-26 00:01:42
FR 3396,A,CROTONE,08:45,08:45,OPERATO DA MALTA AIR,2026-09-26 00:01:42
FR 3645,A,EDINBURGH,08:55,08:55,Operativo,2026-09-26 00:01:42
FR 1784,A,COPENHAGEN,09:05,09:05,Operativo,2026-09-26 00:01:42
FR 4042,A,PORTO,09:05,09:05,Operativo,2026-09-26 00:01:42
FR 2739,A,LONDON STANSTED,09:10,09:10,OPERATO DA MALTA AIR,2026-09-26 00:01:42
FR 4667,A,BARI,09:30,09:30,OPERATO DA MALTA AIR,2026-09-26 00:01:42
FR 076,A,SEVILLA,09:40,09:40,Operativo,2026-09-26 00:01:42
FR 7324,A,MALTA,09:50,09:50,Operativo,2026-09-26 00:01:42
FR 2888,A,CATANIA,10:00,10:00,Operativo,2026-09-26 00:01:42
FR 4201,A,RHODES,10:10,10:10,Operativo,2026-09-26 00:01:42
FR 9239,A,LUBLIN,10:15,10:15,OPERATO DA MALTA AIR,2026-09-26 00:01:42
FR 461,A,NEWCASTLE,10:15,10:15,Operativo,2026-09-26 00:01:42
FR 1903,A,VARSAVIA MODLIN,10:25,10:25,OPERATO DA BUZZ,2026-09-26 00:01:42
FR 5108,A,LOURDES,10:30,10:30,Operativo,2026-09-26 00:01:42
FR 9618,A,RIGA,10:35,10:35,OPERATO DA BUZZ,2026-09-26 00:01:42
FR 4196,A,CORFU,10:40,10:40,OPERATO DA MALTA AIR,2026-09-26 00:01:42
FR 3200,A,CAGLIARI,10:45,10:45,OPERATO DA MALTA AIR,2026-09-26 00:01:42
FR 497,A,VALENCIA,10:45,10:45,"× Utilizziamo cookie tecnici e, previo consenso, di profilazione, anche di terze parti, per raccogliere informazioni statistiche sulla navigazione del sito e per mostrarti messaggi pubblicitari personalizzati e in linea con le tue preferenze, al fine di inviare messaggi pubblicitari ovvero di modulare la fornitura del servizio in modo personalizzato. Per maggiori informazioni sull’uso dei cookie, visualizza l’Informativa cookie oppure GESTISCI le tue preferenze scegliendo quali cookie installare. Cliccando su “Accetta” acconsenti all’installazione di tutti i cookie. Cliccando sulla “X” verranno salvate le impostazioni di default e dunque la continuazione della navigazione avverrà in assenza di cookie o altri strumenti di tracciamento non tecnici o non strettamente necessari. NECESSARI ESPERIENZA MISURAZIONE MARKETING Gestisci Rifiuta tutto Accetta tutto Assistenza Milan Bergamo Airport SEDE LEGALE Via Orio al Serio 49/",2026-09-26 00:01:42
