callsign_volo,tipo_movimento,destinazione_origine,orario_schedulato,orario_effettivo,stato_volo,scan_timestamp
FR 3400,D,SOFIA,06:30,06:30,OPERATO DA MALTA AIR,2026-09-19 23:00:25
FR 3392,D,HELSINKI,06:30,06:30,Operativo,2026-09-19 23:00:25
FR 3528,D,PRAGUE,06:35,06:35,Operativo,2026-09-19 23:00:25
FR 2285,D,NAPOLI,06:40,06:40,OPERATO DA MALTA AIR,2026-09-19 23:00:25
FR 9292,D,KAUNAS,06:45,06:45,OPERATO DA MALTA AIR,2026-09-19 23:00:25
FR 8844,D,WROCLAW - BRESLAVIA,06:45,06:45,OPERATO DA MALTA AIR,2026-09-19 23:00:25
MT 3140,D,MARSA ALAM,06:50,06:50,OPERATO DA TRADEAIR,2026-09-19 23:00:25
FR 2878,D,STOCKHOLM,07:00,07:00,Operativo,2026-09-19 23:00:25
AP 3637,D,SHARM EL SHEIKH,07:00,07:00,Operativo,2026-09-19 23:00:25
FR 9095,D,GDANSK - DANZICA,07:00,07:00,OPERATO DA MALTA AIR,2026-09-19 23:00:25
FR 9050,D,CORK,07:15,07:15,OPERATO DA MALTA AIR,2026-09-19 23:00:25
FR 3460,D,EINDHOVEN,07:20,07:20,Operativo,2026-09-19 23:00:25
W4 3132,D,BUCHAREST BANEASA,07:30,07:30,OPERATO DA WIZZAIR HUNGARY,2026-09-19 23:00:25
FR 8121,D,TIRANA,07:30,07:30,OPERATO DA MALTA AIR,2026-09-19 23:00:25
FR 6054,D,ZAGREB,07:40,07:40,OPERATO DA LAUDA EUROPE,2026-09-19 23:00:25
FR 4667,D,BARI,07:45,07:45,OPERATO DA MALTA AIR,2026-09-19 23:00:25
FR 5114,D,LAMEZIA,07:50,07:50,OPERATO DA MALTA AIR,2026-09-19 23:00:25
FR 2107,D,BUDAPEST,07:55,07:55,OPERATO DA BUZZ,2026-09-19 23:00:25
FR 3448,D,BRINDISI,08:00,08:00,Operativo,2026-09-19 23:00:25
W4 3672,D,IASI,08:00,08:00,OPERATO DA WIZZAIR HUNGARY,2026-09-19 23:00:25
W6 4352,D,SOFIA,08:10,08:10,Operativo,2026-09-19 23:00:25
FR 6458,D,PALERMO,08:10,08:10,Operativo,2026-09-19 23:00:25
FR 5120,D,MADRID,08:15,08:15,Operativo,2026-09-19 23:00:25
FR 888,D,KRAKOW,08:15,08:15,OPERATO DA MALTA AIR,2026-09-19 23:00:25
FR 3396,D,CROTONE,08:25,08:25,Operativo,2026-09-19 23:00:25
W4 3382,D,CLUJ-NAPOCA,08:25,08:25,Operativo,2026-09-19 23:00:25
XZ 354,D,TRIPOLI,08:30,08:30,OPERATO,2026-09-19 23:00:25
FR 4475,D,BRUXELLES CHARLEROI,08:40,09:55,IN RITARDO,2026-09-19 23:00:25
W4 7691,D,ORADEA,08:40,08:40,Operativo,2026-09-19 23:00:25
FR 1903,D,VARSAVIA MODLIN,09:10,09:10,Operativo,2026-09-19 23:00:25
FR 1533,D,VIENNA,09:10,09:10,OPERATO DA LAUDA EUROPE,2026-09-19 23:00:25
FR 5148,D,ZADAR,09:15,09:15,OPERATO DA MALTA AIR,2026-09-19 23:00:25
FR 2735,D,LONDON STANSTED,09:20,09:20,Operativo,2026-09-19 23:00:25
FR 3217,D,MANCHESTER,09:30,09:30,OPERATO DA MALTA AIR,2026-09-19 23:00:25
FR 5531,D,COLOGNE,09:35,09:35,Operativo,2026-09-19 23:00:25
FR 3480,D,CAGLIARI,09:50,09:50,Operativo,2026-09-19 23:00:25
FR 3502,D,ZARAGOZA,10:15,10:15,OPERATO DA MALTA AIR Assistenza Milan Bergamo Airport SEDE LEGALE Via Orio al Serio 49/,2026-09-19 23:00:25
