callsign_volo,tipo_movimento,destinazione_origine,orario_schedulato,orario_effettivo,stato_volo,scan_timestamp
W6 1434,D,WARSAW,20:40,22:53,DECOLLATO,2026-09-16 23:00:31
FR 4969,D,PALERMO,21:25,22:41,DECOLLATO,2026-09-16 23:00:31
FR 3219,D,MANCHESTER,21:30,23:21,IMBARCO IN CORSO,2026-09-16 23:00:31
FR 7324,D,MALTA,21:35,22:41,DECOLLATO,2026-09-16 23:00:31
FR 6501,D,OLBIA,22:10,00:25,IN RITARDO,2026-09-16 23:00:31
FR 7361,D,VIENNA,22:25,23:16,IMBARCO IN CORSO,2026-09-16 23:00:31
FR 9196,D,TRAPANI,22:35,22:35,DECOLLATO,2026-09-16 23:00:31
FR 4188,D,LONDON STANSTED,22:40,23:28,IMBARCO IN CORSO,2026-09-16 23:00:31
FR 5148,D,ZADAR,22:45,23:13,IMBARCO CHIUSO,2026-09-16 23:00:31
W6 4124,D,BELGRADE,23:35,23:35,IMBARCO IN CORSO,2026-09-16 23:00:31
FR 6846,D,LIVERPOOL,23:40,23:40,OPERATO DA MALTA AIR,2026-09-16 23:00:31
FR 1703,D,NOTTINGHAM EAST MIDLANDS,23:40,23:40,IMBARCO IN C,2026-09-16 23:00:31
3O 454,D,CASABLANCA,01:05,01:37,IN RITARDO,2026-09-16 23:00:31
NO 2474,D,DAKAR,02:10,02:10,Operativo,2026-09-16 23:00:31
FR 9065,D,ALICANTE,05:45,05:45,Operativo,2026-09-16 23:00:31
FR 3432,D,PARIS BEAUVAIS,05:45,05:45,Operativo,2026-09-16 23:00:31
FR 3528,D,PRAGUE,05:45,05:45,Operativo,2026-09-16 23:00:31
FR 3200,D,CAGLIARI,05:50,05:50,Operativo,2026-09-16 23:00:31
FR 2261,D,CATANIA,05:50,05:50,Operativo,2026-09-16 23:00:31
FR 2830,D,TENERIFE,05:50,05:50,Operativo,2026-09-16 23:00:31
FR 5655,D,PALMA DE MALLORCA,05:55,05:55,Operativo,2026-09-16 23:00:31
FR 8121,D,TIRANA,06:00,06:00,Operativo,2026-09-16 23:00:31
FR 266,D,FUERTEVENTURA,06:05,06:05,OPERATO DA MALTA AIR,2026-09-16 23:00:31
FR 3545,D,FEZ,06:05,06:05,Operativo,2026-09-16 23:00:31
FR 3400,D,SOFIA,06:15,06:15,Operativo,2026-09-16 23:00:31
FR 3653,D,BARI,06:20,06:20,Operativo,2026-09-16 23:00:31
FR 410,D,LUXEMBOURG,06:20,06:20,Operativo,2026-09-16 23:00:31
FR 6854,D,HELSINKI,06:25,06:25,OPERATO DA MALTA AIR,2026-09-16 23:00:31
FR 5148,D,ZADAR,06:30,06:30,Operativo,2026-09-16 23:00:31
FR 497,D,VALENCIA,06:35,06:35,Operativo,2026-09-16 23:00:31
FR 4993,D,CEFALONIA,06:35,06:35,OPERATO DA MALTA AIR,2026-09-16 23:00:31
FR 2878,D,STOCKHOLM,06:45,06:45,OPERATO DA MALTA AIR,2026-09-16 23:00:31
FR 2285,D,NAPOLI,07:10,07:10,OPERATO DA MALTA AIR,2026-09-16 23:00:31
FR 259,D,BUCHAREST OTOPENI,07:20,07:20,Operativo,2026-09-16 23:00:31
FR 1853,D,MARSEILLE,07:25,07:25,Operativo,2026-09-16 23:00:31
W4 3132,D,BUCHAREST BANEASA,07:30,07:30,OPERATO DA WIZZAIR HUNGARY,2026-09-16 23:00:31
FR 9890,D,LODZ,07:35,07:35,Operativo,2026-09-16 23:00:31
V7 1316,D,OLBIA,07:45,07:45,Operativo,2026-09-16 23:00:31
FR 076,D,SEVILLA,07:55,07:55,Operativo,2026-09-16 23:00:31
FR 3962,D,MARRAKECH,07:55,07:55,OPERATO DA MALTA AIR,2026-09-16 23:00:31
W4 3552,D,TIMISOARA,07:55,07:55,Operativo,2026-09-16 23:00:31
FR 3408,D,KATOWICE,07:55,07:55,OPERATO DA BUZZ,2026-09-16 23:00:31
FR 2107,D,BUDAPEST,08:00,08:00,OPERATO DA BUZZ,2026-09-16 23:00:31
W4 3672,D,IASI,08:00,08:00,OPERATO DA WIZZAIR HUNGARY,2026-09-16 23:00:31
FR 1746,D,KNOCK,08:00,08:00,OPERATO DA MALTA AIR,2026-09-16 23:00:31
FR 847,D,BARCELONA EL PRAT,08:05,08:05,Operativo,2026-09-16 23:00:31
FR 5092,D,LAMEZIA,08:05,08:05,Operativo,2026-09-16 23:00:31
